state,popestimate2019,fips
28,30628,28011
28,14361,28013
28,9947,28015
28,17103,28017
28,8210,28019
28,8988,28021
28,15541,28023
28,19316,28025
28,22124,28027
28,28065,28029
28,18636,28031
28,184945,28033
28,74897,28035
28,7713,28037
28,24500,28039
28,13586,28041
28,20758,28043
28,47632,28045
28,208080,28047
28,231840,28049
28,17010,28051
28,8064,28053
28,1327,28055
28,23390,28057
28,143617,28059
28,16383,28061
28,6990,28063
28,11128,28065
28,68098,28067
28,9742,28069
28,54019,28071
28,63343,28073
28,74125,28075
28,12586,28077
28,22786,28079
28,85436,28081
28,28183,28083
28,34153,28085
28,58595,28087
28,106272,28089
28,24573,28091
28,35294,28093
28,35252,28095
28,9775,28097
28,29118,28099
28,21018,28101
28,10417,28103
28,49587,28105
28,34192,28107
28,55535,28109
28,11973,28111
28,39288,28113
28,32174,28115
28,25126,28117
28,6792,28119
28,155271,28121
28,28124,28123
28,4321,28125
28,26658,28127
28,15916,28129
28,18336,28131
28,25110,28133
28,13809,28135
28,28321,28137
28,22015,28139
28,19383,28141
28,9632,28143
28,28815,28145
28,14286,28147
28,45381,28149
28,43909,28151
28,20183,28153
28,9689,28155
28,8630,28157
28,17955,28159
28,12108,28161
28,29690,28163
29,6137428,29000
29,25343,29001
29,17712,29003
29,5143,29005
29,25388,29007
29,35789,29009
29,11754,29011
29,16172,29013
29,19443,29015
29,12133,29017
29,180463,29019
29,87364,29021
29,42478,29023
29,9020,29025
29,44743,29027
29,46305,29029
29,78871,29031
29,8679,29033
29,5982,29035
29,105780,29037
29,14349,29039
29,7426,29041
29,88595,29043
29,6797,29045
29,249948,29047
29,20387,29049
29,76745,29051
29,17709,29053
29,23920,29055
29,7561,29057
29,16878,29059
29,8278,29061
29,12547,29063
29,15573,29065
29,13185,29067
29,29131,29069
29,103967,29071
29,14706,29073
29,6571,29075
29,293086,29077
29,9850,29079
29,8352,29081
29,21824,29083
29,9544,29085
29,4403,29087
29,10001,29089
29,40117,29091
29,10125,29093
29,703011,29095
29,121328,29097
29,225081,29099
29,54062,29101
29,3959,29103
29,35723,29105
29,32708,29107
29,38355,29109
29,9776,29111
29,59013,29113
29,11920,29115
29,15227,29117
29,22837,29119
29,15117,29121
29,12088,29123
29,8697,29125
29,28530,29127
29,3617,29129
29,25619,29131
29,13180,29133
29,16132,29135
29,8644,29137
29,11551,29139
29,20627,29141
29,17076,29143
29,58236,29145
29,22092,29147
29,10529,29149
29,13615,29151
29,9174,29153
29,15805,29155
29,19136,29157
29,42339,29159
29,44573,29161
29,18302,29163
29,104418,29165
29,32149,29167
29,52607,29169
29,4696,29171
29,10309,29173
29,24748,29175
29,23018,29177
29,6270,29179
29,13288,29181
29,402022,29183
29,9397,29185
29,17894,29186
29,67215,29187
29,994205,29189
29,22761,29195
29,4660,29197
29,4902,29199
29,38280,29201
29,8166,29203
29,5930,29205
29,29025,29207
29,31952,29209
29,6089,29211
29,55928,29213
