OBJECTID,FIPS,Tract_Name,Tract_FIPS,County,Area_Land_Square_Miles,Area_Water_Square_Miles,Population_Total,Population_Density_PerLandSquareMile
47,08045951701,"Census Tract 9517.01, Garfield County, Colorado",08045951701,GARFIELD,4.99,0.05,4014,804.4
48,08045951902,"Census Tract 9519.02, Garfield County, Colorado",08045951902,GARFIELD,278.08,0.58,7111,25.6
49,08045951702,"Census Tract 9517.02, Garfield County, Colorado",08045951702,GARFIELD,4.39,0,3507,798.9
50,08045952001,"Census Tract 9520.01, Garfield County, Colorado",08045952001,GARFIELD,33.57,0.31,5051,150.5
51,08045952002,"Census Tract 9520.02, Garfield County, Colorado",08045952002,GARFIELD,411.02,1.66,8266,20.1
52,08045951803,"Census Tract 9518.03, Garfield County, Colorado",08045951803,GARFIELD,35.99,0.03,6245,173.5
53,08045951804,"Census Tract 9518.04, Garfield County, Colorado",08045951804,GARFIELD,36.42,0.16,3958,108.7
54,08045951802,"Census Tract 9518.02, Garfield County, Colorado",08045951802,GARFIELD,142.51,0.38,4249,29.8
55,08045952100,"Census Tract 9521, Garfield County, Colorado",08045952100,GARFIELD,1284.53,1.15,6987,5.4
56,08067970704,"Census Tract 9707.04, La Plata County, Colorado",08067970704,LA PLATA,302.5,2.74,3837,12.7
57,08067970703,"Census Tract 9707.03, La Plata County, Colorado",08067970703,LA PLATA,56.83,0,5549,97.6
58,08067970701,"Census Tract 9707.01, La Plata County, Colorado",08067970701,LA PLATA,345.95,0.04,5265,15.2
59,08067940300,"Census Tract 9403, La Plata County, Colorado",08067940300,LA PLATA,204.02,0.07,6073,29.8
60,08097000500,"Census Tract 5, Pitkin County, Colorado",08097000500,PITKIN,458.71,1.85,2479,5.4
61,08097000401,"Census Tract 4.01, Pitkin County, Colorado",08097000401,PITKIN,9.85,0,4542,461.1
62,08097000402,"Census Tract 4.02, Pitkin County, Colorado",08097000402,PITKIN,34.1,0,3143,92.2
63,08097000100,"Census Tract 1, Pitkin County, Colorado",08097000100,PITKIN,468.03,0.64,7583,16.2
64,08117000402,"Census Tract 4.02, Summit County, Colorado",08117000402,SUMMIT,67.59,0.22,6340,93.8
65,08117000401,"Census Tract 4.01, Summit County, Colorado",08117000401,SUMMIT,58.33,0.17,3864,66.2
66,08117000100,"Census Tract 1, Summit County, Colorado",08117000100,SUMMIT,261.68,4.04,8155,31.2
67,08117000200,"Census Tract 2, Summit County, Colorado",08117000200,SUMMIT,116.72,2.62,7162,61.4
68,08117000300,"Census Tract 3, Summit County, Colorado",08117000300,SUMMIT,104.03,3.87,4201,40.4
69,08067971100,"Census Tract 9711, La Plata County, Colorado",08067971100,LA PLATA,9.4,0.02,4350,462.8
70,08067971000,"Census Tract 9710, La Plata County, Colorado",08067971000,LA PLATA,1.93,0,2984,1546.1
